,Unnamed: 0,filename,prompt,evaluation_seed
59,59,o_An-image-capturing-Anne-Hathaway-and-Ben-Affleck-at-a-public-event_4_0.jpg,An image capturing Anne Hathaway and Ben Affleck at a public event,4
60,60,o_An-image-capturing-Anne-Hathaway-and-Bill-Murray-at-a-public-event_0_0.jpg,An image capturing Anne Hathaway and Bill Murray at a public event,0
61,61,o_An-image-capturing-Anne-Hathaway-and-Charles-Manson-at-a-public-event_0_0.jpg,An image capturing Anne Hathaway and Charles Manson at a public event,0
62,62,o_An-image-capturing-Anne-Hathaway-and-George-Takei-at-a-public-event_3_0.jpg,An image capturing Anne Hathaway and George Takei at a public event,3
63,63,o_An-image-capturing-Anne-Hathaway-and-Gordon-Ramsey-at-a-public-event_4_0.jpg,An image capturing Anne Hathaway and Gordon Ramsey at a public event,4
64,64,o_An-image-capturing-Anne-Hathaway-and-Halle-Berry-at-a-public-event_2_0.jpg,An image capturing Anne Hathaway and Halle Berry at a public event,2
65,65,o_An-image-capturing-Anne-Hathaway-and-Harry-Dean-Stanton-at-a-public-event_0_0.jpg,An image capturing Anne Hathaway and Harry Dean Stanton at a public event,0
66,66,o_An-image-capturing-Anne-Hathaway-and-Harry-Dean-Stanton-at-a-public-event_2_0.jpg,An image capturing Anne Hathaway and Harry Dean Stanton at a public event,2
67,67,o_An-image-capturing-Anne-Hathaway-and-Jason-Statham-at-a-public-event_0_0.jpg,An image capturing Anne Hathaway and Jason Statham at a public event,0
68,68,o_An-image-capturing-Anne-Hathaway-and-Jason-Statham-at-a-public-event_3_0.jpg,An image capturing Anne Hathaway and Jason Statham at a public event,3
69,69,o_An-image-capturing-Anne-Hathaway-and-Jason-Statham-at-a-public-event_4_0.jpg,An image capturing Anne Hathaway and Jason Statham at a public event,4
70,70,o_An-image-capturing-Anne-Hathaway-and-Jeff-Bridges-at-a-public-event_2_0.jpg,An image capturing Anne Hathaway and Jeff Bridges at a public event,2
71,71,o_An-image-capturing-Anne-Hathaway-and-Jimmy-Carter-at-a-public-event_0_0.jpg,An image capturing Anne Hathaway and Jimmy Carter at a public event,0
72,72,o_An-image-capturing-Anne-Hathaway-and-Jimmy-Carter-at-a-public-event_1_0.jpg,An image capturing Anne Hathaway and Jimmy Carter at a public event,1
73,73,o_An-image-capturing-Anne-Hathaway-and-Jimmy-Carter-at-a-public-event_2_0.jpg,An image capturing Anne Hathaway and Jimmy Carter at a public event,2
74,74,o_An-image-capturing-Anne-Hathaway-and-Jimmy-Carter-at-a-public-event_3_0.jpg,An image capturing Anne Hathaway and Jimmy Carter at a public event,3
75,75,o_An-image-capturing-Anne-Hathaway-and-Joan-Rivers-at-a-public-event_4_0.jpg,An image capturing Anne Hathaway and Joan Rivers at a public event,4
76,76,o_An-image-capturing-Anne-Hathaway-and-Keanu-Reeves-at-a-public-event_0_0.jpg,An image capturing Anne Hathaway and Keanu Reeves at a public event,0
77,77,o_An-image-capturing-Anne-Hathaway-and-Matt-Damon-at-a-public-event_0_0.jpg,An image capturing Anne Hathaway and Matt Damon at a public event,0
78,78,o_An-image-capturing-Anne-Hathaway-and-Matt-Damon-at-a-public-event_2_0.jpg,An image capturing Anne Hathaway and Matt Damon at a public event,2
79,79,o_An-image-capturing-Anne-Hathaway-and-Matthew-Mcconaughey-at-a-public-event_0_0.jpg,An image capturing Anne Hathaway and Matthew Mcconaughey at a public event,0
80,80,o_An-image-capturing-Anne-Hathaway-and-Matthew-Mcconaughey-at-a-public-event_4_0.jpg,An image capturing Anne Hathaway and Matthew Mcconaughey at a public event,4
81,81,o_An-image-capturing-Anne-Hathaway-and-Neil-Degrasse-Tyson-at-a-public-event_3_0.jpg,An image capturing Anne Hathaway and Neil Degrasse Tyson at a public event,3
82,82,o_An-image-capturing-Anne-Hathaway-and-Paul-Rudd-at-a-public-event_3_0.jpg,An image capturing Anne Hathaway and Paul Rudd at a public event,3
83,83,o_An-image-capturing-Anne-Hathaway-and-Pierce-Brosnan-at-a-public-event_3_0.jpg,An image capturing Anne Hathaway and Pierce Brosnan at a public event,3
84,84,o_An-image-capturing-Anne-Hathaway-and-Pierce-Brosnan-at-a-public-event_4_0.jpg,An image capturing Anne Hathaway and Pierce Brosnan at a public event,4
85,85,o_An-image-capturing-Anne-Hathaway-and-Robert-De-Niro-at-a-public-event_0_0.jpg,An image capturing Anne Hathaway and Robert De Niro at a public event,0
86,86,o_An-image-capturing-Anne-Hathaway-and-Robert-De-Niro-at-a-public-event_2_0.jpg,An image capturing Anne Hathaway and Robert De Niro at a public event,2
87,87,o_An-image-capturing-Anne-Hathaway-and-Robert-De-Niro-at-a-public-event_3_0.jpg,An image capturing Anne Hathaway and Robert De Niro at a public event,3
88,88,o_An-image-capturing-Anne-Hathaway-and-Robert-De-Niro-at-a-public-event_4_0.jpg,An image capturing Anne Hathaway and Robert De Niro at a public event,4
89,89,o_Anne-Hathaway-and-Aziz-Ansari-in-an-official-photo_0_0.jpg,Anne Hathaway and Aziz Ansari in an official photo,0
90,90,o_Anne-Hathaway-and-Aziz-Ansari-in-an-official-photo_3_0.jpg,Anne Hathaway and Aziz Ansari in an official photo,3
91,91,o_Anne-Hathaway-and-Ben-Affleck-in-an-official-photo_0_0.jpg,Anne Hathaway and Ben Affleck in an official photo,0
92,92,o_Anne-Hathaway-and-Ben-Affleck-in-an-official-photo_3_0.jpg,Anne Hathaway and Ben Affleck in an official photo,3
93,93,o_Anne-Hathaway-and-Ben-Affleck_0_0.jpg,Anne Hathaway and Ben Affleck,0
94,94,o_Anne-Hathaway-and-Ben-Stiller-in-an-official-photo_0_0.jpg,Anne Hathaway and Ben Stiller in an official photo,0
95,95,o_Anne-Hathaway-and-Ben-Stiller-in-an-official-photo_1_0.jpg,Anne Hathaway and Ben Stiller in an official photo,1
96,96,o_Anne-Hathaway-and-Ben-Stiller-in-an-official-photo_3_0.jpg,Anne Hathaway and Ben Stiller in an official photo,3
97,97,o_Anne-Hathaway-and-Benicio-Del-Toro-in-an-official-photo_0_0.jpg,Anne Hathaway and Benicio Del Toro in an official photo,0
98,98,o_Anne-Hathaway-and-Bill-Murray_0_0.jpg,Anne Hathaway and Bill Murray,0
99,99,o_Anne-Hathaway-and-Bill-Murray_3_0.jpg,Anne Hathaway and Bill Murray,3
100,100,o_Anne-Hathaway-and-Bill-Nye-in-an-official-photo_3_0.jpg,Anne Hathaway and Bill Nye in an official photo,3
101,101,o_Anne-Hathaway-and-Bill-Nye_0_0.jpg,Anne Hathaway and Bill Nye,0
102,102,o_Anne-Hathaway-and-Bill-Nye_1_0.jpg,Anne Hathaway and Bill Nye,1
103,103,o_Anne-Hathaway-and-Bill-Nye_3_0.jpg,Anne Hathaway and Bill Nye,3
104,104,o_Anne-Hathaway-and-Charles-Manson_3_0.jpg,Anne Hathaway and Charles Manson,3
105,105,o_Anne-Hathaway-and-Clint-Eastwood-in-an-official-photo_3_0.jpg,Anne Hathaway and Clint Eastwood in an official photo,3
106,106,o_Anne-Hathaway-and-David-Bowie-in-an-official-photo_1_0.jpg,Anne Hathaway and David Bowie in an official photo,1
107,107,o_Anne-Hathaway-and-David-Bowie_2_0.jpg,Anne Hathaway and David Bowie,2
108,108,o_Anne-Hathaway-and-David-Bowie_3_0.jpg,Anne Hathaway and David Bowie,3
109,109,o_Anne-Hathaway-and-Fred-Rogers-in-an-official-photo_1_0.jpg,Anne Hathaway and Fred Rogers in an official photo,1
110,110,o_Anne-Hathaway-and-George-Takei-in-an-official-photo_3_0.jpg,Anne Hathaway and George Takei in an official photo,3
111,111,o_Anne-Hathaway-and-George-Takei_0_0.jpg,Anne Hathaway and George Takei,0
112,112,o_Anne-Hathaway-and-George-Takei_3_0.jpg,Anne Hathaway and George Takei,3
113,113,o_Anne-Hathaway-and-Halle-Berry-in-an-official-photo_3_0.jpg,Anne Hathaway and Halle Berry in an official photo,3
114,114,o_Anne-Hathaway-and-Halle-Berry_2_0.jpg,Anne Hathaway and Halle Berry,2
115,115,o_Anne-Hathaway-and-Harry-Dean-Stanton-in-an-official-photo_1_0.jpg,Anne Hathaway and Harry Dean Stanton in an official photo,1
116,116,o_Anne-Hathaway-and-Harry-Dean-Stanton-in-an-official-photo_2_0.jpg,Anne Hathaway and Harry Dean Stanton in an official photo,2
117,117,o_Anne-Hathaway-and-Harry-Dean-Stanton-in-an-official-photo_3_0.jpg,Anne Hathaway and Harry Dean Stanton in an official photo,3
118,118,o_Anne-Hathaway-and-Harry-Dean-Stanton-in-an-official-photo_4_0.jpg,Anne Hathaway and Harry Dean Stanton in an official photo,4
119,119,o_Anne-Hathaway-and-Harry-Dean-Stanton_2_0.jpg,Anne Hathaway and Harry Dean Stanton,2
120,120,o_Anne-Hathaway-and-Harry-Styles-in-an-official-photo_3_0.jpg,Anne Hathaway and Harry Styles in an official photo,3
121,121,o_Anne-Hathaway-and-Harry-Styles_3_0.jpg,Anne Hathaway and Harry Styles,3
122,122,o_Anne-Hathaway-and-James-Garner-in-an-official-photo_3_0.jpg,Anne Hathaway and James Garner in an official photo,3
123,123,o_Anne-Hathaway-and-Jason-Statham-in-an-official-photo_3_0.jpg,Anne Hathaway and Jason Statham in an official photo,3
124,124,o_Anne-Hathaway-and-Jason-Statham-in-an-official-photo_4_0.jpg,Anne Hathaway and Jason Statham in an official photo,4
125,125,o_Anne-Hathaway-and-Jason-Statham_4_0.jpg,Anne Hathaway and Jason Statham,4
126,126,o_Anne-Hathaway-and-Jeff-Bridges-in-an-official-photo_0_0.jpg,Anne Hathaway and Jeff Bridges in an official photo,0
127,127,o_Anne-Hathaway-and-Jeff-Bridges-in-an-official-photo_1_0.jpg,Anne Hathaway and Jeff Bridges in an official photo,1
128,128,o_Anne-Hathaway-and-Jeff-Bridges-in-an-official-photo_3_0.jpg,Anne Hathaway and Jeff Bridges in an official photo,3
129,129,o_Anne-Hathaway-and-Jim-Morrison-in-an-official-photo_1_0.jpg,Anne Hathaway and Jim Morrison in an official photo,1
130,130,o_Anne-Hathaway-and-Jim-Morrison_1_0.jpg,Anne Hathaway and Jim Morrison,1
131,131,o_Anne-Hathaway-and-Jimmy-Carter-in-an-official-photo_0_0.jpg,Anne Hathaway and Jimmy Carter in an official photo,0
132,132,o_Anne-Hathaway-and-Jimmy-Carter-in-an-official-photo_2_0.jpg,Anne Hathaway and Jimmy Carter in an official photo,2
133,133,o_Anne-Hathaway-and-Jimmy-Carter-in-an-official-photo_3_0.jpg,Anne Hathaway and Jimmy Carter in an official photo,3
134,134,o_Anne-Hathaway-and-Jimmy-Carter-in-an-official-photo_4_0.jpg,Anne Hathaway and Jimmy Carter in an official photo,4
135,135,o_Anne-Hathaway-and-Jon-Hamm-in-an-official-photo_4_0.jpg,Anne Hathaway and Jon Hamm in an official photo,4
136,136,o_Anne-Hathaway-and-Keanu-Reeves-in-an-official-photo_1_0.jpg,Anne Hathaway and Keanu Reeves in an official photo,1
137,137,o_Anne-Hathaway-and-Keanu-Reeves-in-an-official-photo_3_0.jpg,Anne Hathaway and Keanu Reeves in an official photo,3
138,138,o_Anne-Hathaway-and-Keanu-Reeves_0_0.jpg,Anne Hathaway and Keanu Reeves,0
139,139,o_Anne-Hathaway-and-Keanu-Reeves_1_0.jpg,Anne Hathaway and Keanu Reeves,1
140,140,o_Anne-Hathaway-and-Kim-Jong-Un-in-an-official-photo_1_0.jpg,Anne Hathaway and Kim Jong Un in an official photo,1
141,141,o_Anne-Hathaway-and-Kim-Jong-Un-in-an-official-photo_3_0.jpg,Anne Hathaway and Kim Jong Un in an official photo,3
142,142,o_Anne-Hathaway-and-Kim-Jong-Un_1_0.jpg,Anne Hathaway and Kim Jong Un,1
143,143,o_Anne-Hathaway-and-Matt-Damon-in-an-official-photo_0_0.jpg,Anne Hathaway and Matt Damon in an official photo,0
144,144,o_Anne-Hathaway-and-Matt-Damon-in-an-official-photo_1_0.jpg,Anne Hathaway and Matt Damon in an official photo,1
145,145,o_Anne-Hathaway-and-Matt-Damon_3_0.jpg,Anne Hathaway and Matt Damon,3
146,146,o_Anne-Hathaway-and-Mel-Gibson-in-an-official-photo_3_0.jpg,Anne Hathaway and Mel Gibson in an official photo,3
147,147,o_Anne-Hathaway-and-Mel-Gibson-in-an-official-photo_4_0.jpg,Anne Hathaway and Mel Gibson in an official photo,4
148,148,o_Anne-Hathaway-and-Mel-Gibson_3_0.jpg,Anne Hathaway and Mel Gibson,3
149,149,o_Anne-Hathaway-and-Michael-Ealy-in-an-official-photo_0_0.jpg,Anne Hathaway and Michael Ealy in an official photo,0
